task,avg_err
all_0_vs_rest,0.0303030303030303
all_1_vs_rest,0.03282828282828283
all_2_vs_rest,0.026094276094276093
all_3_vs_rest,0.03198653198653198
all_4_vs_rest,0.022727272727272728
all_5_vs_rest,0.022727272727272724
all_6_vs_rest,0.0303030303030303
all_7_vs_rest,0.03451178451178451
all_8_vs_rest,0.025252525252525252
all_9_vs_rest,0.028619528619528618
all_all_vs_rest,0.013314580403187998
frontal_0_vs_rest,0.028619528619528618
frontal_1_vs_rest,0.031144781144781142
frontal_2_vs_rest,0.026094276094276093
frontal_3_vs_rest,0.028619528619528618
frontal_4_vs_rest,0.027777777777777776
frontal_5_vs_rest,0.02693602693602694
frontal_6_vs_rest,0.031144781144781142
frontal_7_vs_rest,0.03282828282828283
frontal_8_vs_rest,0.028619528619528625
frontal_9_vs_rest,0.021043771043771045
frontal_all_vs_rest,0.013127051101734646
occipital_0_vs_rest,0.1186868686868687
occipital_1_vs_rest,0.11616161616161616
occipital_2_vs_rest,0.1271043771043771
occipital_3_vs_rest,0.13131313131313133
occipital_4_vs_rest,0.12289562289562289
occipital_5_vs_rest,0.1254208754208754
occipital_6_vs_rest,0.11195286195286196
occipital_7_vs_rest,0.12205387205387207
occipital_8_vs_rest,0.14562289562289563
occipital_9_vs_rest,0.11700336700336703
occipital_all_vs_rest,0.013314580403187996
parietal_0_vs_rest,0.11868686868686867
parietal_1_vs_rest,0.11531986531986534
parietal_2_vs_rest,0.1254208754208754
parietal_3_vs_rest,0.11531986531986532
parietal_4_vs_rest,0.11700336700336703
parietal_5_vs_rest,0.1212121212121212
parietal_6_vs_rest,0.11868686868686867
parietal_7_vs_rest,0.11026936026936027
parietal_8_vs_rest,0.1254208754208754
parietal_9_vs_rest,0.12457912457912457
parietal_all_vs_rest,0.013689639006094703
temporal_0_vs_rest,0.12542087542087543
temporal_1_vs_rest,0.10521885521885521
temporal_2_vs_rest,0.10185185185185185
temporal_3_vs_rest,0.10606060606060605
temporal_4_vs_rest,0.15656565656565657
temporal_5_vs_rest,0.10016835016835017
temporal_6_vs_rest,0.0968013468013468
temporal_7_vs_rest,0.11026936026936027
temporal_8_vs_rest,0.09343434343434343
temporal_9_vs_rest,0.09343434343434343
temporal_all_vs_rest,0.013783403656821378
